fecha_extraccion,retailer,categoria,producto,precio_lista_crc,precio_oferta_crc,descuento_pct,presentacion_ml,url_fuente,tipo_extraccion
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Làudum Gran Reserva - 750 ml,11430.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Rosado Dark Horse Pinot Noir - 750 ml,8655.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Làudum Barrica - 750 ml,10080.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Laudum Monastrell - 750 ml,8280.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Laudum Rosado - 750 ml,8280.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Làudum Reserva - 750 ml,10080.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino rose Carnivor apothic - 750 ml,10943.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino rosado Trapiche vineyards argentino - 750 ml,5358.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Trivento Reserva Malbec Rosado - 750 ml,8730.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,"Vino Rosado Freixenet, Ice Rose -750 ml",10000.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Cavicchioli lambrusco rosato dulce - 750 ml,6140.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino rosado Canti prosecco - 750 ml,10810.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Rosado Cune Bailarina 750mlx6,8670.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino rosado Cono Sur bicicleta pinot noir - 750 ml,8250.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Soupcon de fruit rose d'anjou 2020 - 750 ml,5770.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino rosado Frontera gently bubbly spritzer roses -750 ml,11180.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Mr Wild Org Rose 750 ml,9790.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Rosado Ijalba Rioja Eco -750ml,8810.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Marques De Caceres Rosado Rioja - 750Ml,9200.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Laudum Chardonnay - 750 ml,9810.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Les Jamelles Petite Rosado - 750 ml,12700.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Làudum Gran Reserva - 750 ml,11540.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Rosado Dark Horse Pinot Noir - 750 ml,11200.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Frontera,Vino blanco Frontera chardonnay viñedo protegido por la naturaleza - 750 ml,6070.0,,0,750.0,https://www.masxmenos.cr/frontera,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Frontera,Vino rosado Frontera gently bubbly spritzer roses -750 ml,5770.0,,0,750.0,https://www.masxmenos.cr/frontera,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Frontera,Vino Frontera blanco sauvignon concha y toro - 750 ml,6070.0,,0,750.0,https://www.masxmenos.cr/frontera,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Frontera,Vino tinto Frontera carmenere viñedo protegido por la naturaleza - 750 ml,5930.0,,0,750.0,https://www.masxmenos.cr/frontera,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Frontera,Vino Frontera rosado concha y toro Chile - 750 ml,5770.0,,0,750.0,https://www.masxmenos.cr/frontera,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Frontera,Vino Frontera Merlot -1500 ml,7500.0,,0,1500.0,https://www.masxmenos.cr/frontera,web_scraping_live
