fecha_extraccion,retailer,categoria,producto,precio_lista_crc,precio_oferta_crc,descuento_pct,presentacion_ml,url_fuente,tipo_extraccion,precio_final_crc,producto_normalizado,retailer_normalizado,precio_equivalente_750ml_crc,segmento_precio,tipo_cambio_compra_usd,tipo_cambio_venta_usd
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Tinto Torres Ramon Bilbao Crianza - 750ml Vendido por Walmart,6100.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,6100.0,vino tinto torres ramon bilbao crianza - 750ml vendido por walmart,walmart costa rica,6100.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Frontera Frutal Tropical Mango Maracuyá - 750 ml,4700.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,4700.0,vino frontera frutal tropical mango maracuyá - 750 ml,walmart costa rica,4700.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Casillero del Diablo Reserve Sauvignon Blanc - 750ml,8800.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,8800.0,vino blanco casillero del diablo reserve sauvignon blanc - 750ml,walmart costa rica,8800.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Catena Malbec - 750 ml,13780.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,13780.0,vino tinto catena malbec - 750 ml,walmart costa rica,13780.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Trapiche Pinot Grigio -750ml,5480.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,5480.0,vino blanco trapiche pinot grigio -750ml,walmart costa rica,5480.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Trapiche Merlot - 750 ml,6030.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,6030.0,vino tinto trapiche merlot - 750 ml,walmart costa rica,6030.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Les Jamelles Petite Rosado - 750 ml,7358.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,7358.0,vino les jamelles petite rosado - 750 ml,walmart costa rica,7358.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Fantini Sangiovese - 750ml,5190.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,5190.0,vino tinto fantini sangiovese - 750ml,walmart costa rica,5190.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Robert Mondavi Mondavi Cabernet Sauvignon - 750 ml,11168.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,11168.0,vino tinto robert mondavi mondavi cabernet sauvignon - 750 ml,walmart costa rica,11168.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Familia Pasqua Passimento - 750 ml,12144.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,12144.0,vino familia pasqua passimento - 750 ml,walmart costa rica,12144.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino Toro Bravo verdejo sauvignon blanco - 750 ml,5000.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,5000.0,vino toro bravo verdejo sauvignon blanco - 750 ml,walmart costa rica,5000.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vinos general,Vino espumoso Calvet celebration brut rosé - 750 ml,7580.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live,7580.0,vino espumoso calvet celebration brut rosé - 750 ml,walmart costa rica,7580.0,medio,446.61,451.08
